year,count_date,DOY,Chinook,Chum,Coho,Dolly,Pink,Sockeye,Steelhead
2011,6/4/2011,155,NA,NA,NA,NA,NA,3,0
2011,6/5/2011,156,NA,NA,NA,NA,NA,1,0
2011,6/6/2011,157,NA,NA,NA,NA,NA,1,1
2011,6/7/2011,158,NA,NA,NA,NA,NA,0,0
2011,6/8/2011,159,NA,NA,NA,NA,NA,10,0
2011,6/9/2011,160,9,1,NA,NA,NA,4213,0
2011,6/10/2011,161,0,0,NA,NA,NA,1564,0
2011,6/11/2011,162,0,0,NA,NA,NA,780,0
2011,6/12/2011,163,1,0,NA,NA,NA,799,0
2011,6/13/2011,164,0,0,NA,NA,NA,1082,0
2011,6/14/2011,165,1,0,NA,NA,NA,694,2
2011,6/15/2011,166,2,0,NA,NA,NA,2773,0
2011,6/16/2011,167,0,0,NA,NA,NA,351,0
2011,6/17/2011,168,0,0,NA,NA,NA,3189,1
2011,6/18/2011,169,1,0,NA,NA,NA,444,0
2011,6/19/2011,170,3,1,NA,NA,NA,3159,0
2011,6/20/2011,171,15,1,NA,NA,NA,6232,2
2011,6/21/2011,172,6,1,NA,NA,NA,3759,6
2011,6/22/2011,173,8,1,NA,NA,NA,6471,1
2011,6/23/2011,174,7,4,NA,NA,NA,1287,0
2011,6/24/2011,175,5,0,NA,NA,NA,606,0
2011,6/25/2011,176,4,0,NA,NA,NA,1038,2
2011,6/26/2011,177,5,8,NA,0,NA,9437,0
2011,6/27/2011,178,0,0,NA,0,NA,88,0
2011,6/28/2011,179,4,2,NA,0,1,1411,0
2011,6/29/2011,180,4,4,NA,0,3,5069,0
2011,6/30/2011,181,0,1,NA,0,0,2490,0
2011,7/1/2011,182,2,9,NA,0,11,6612,1
2011,7/2/2011,183,2,39,NA,61,28,13920,0
2011,7/3/2011,184,0,9,NA,7,6,2408,5
2011,7/4/2011,185,2,30,NA,218,12,7002,0
2011,7/5/2011,186,1,51,NA,189,63,16216,3
2011,7/6/2011,187,0,28,NA,14,42,4353,0
2011,7/7/2011,188,0,0,NA,2,3,170,0
2011,7/8/2011,189,1,10,NA,29,21,2108,0
2011,7/9/2011,190,0,117,NA,163,63,4167,0
2011,7/10/2011,191,0,17,NA,9,8,611,6
2011,7/11/2011,192,0,167,NA,43,56,4542,1
2011,7/12/2011,193,0,427,NA,234,193,4252,0
2011,7/13/2011,194,0,148,NA,90,128,6405,0
2011,7/14/2011,195,0,NA,NA,65,116,5202,0
2011,7/15/2011,196,0,112,NA,24,60,2221,1
2011,7/16/2011,197,0,137,NA,57,115,4481,0
2011,7/17/2011,198,0,117,NA,68,84,3564,0
2011,7/18/2011,199,0,215,NA,85,453,2714,0
2011,7/19/2011,200,0,60,NA,34,75,1164,0
2011,7/20/2011,201,0,110,NA,100,152,3254,0
2011,7/21/2011,202,0,97,NA,64,841,1018,0
2011,7/22/2011,203,0,146,NA,44,235,1420,0
2011,7/23/2011,204,0,175,NA,53,354,3326,0
2011,7/24/2011,205,0,29,NA,28,499,1179,0
2011,7/25/2011,206,0,3,NA,40,434,1172,0
2011,7/26/2011,207,0,5,NA,29,203,299,0
2011,7/27/2011,208,0,65,NA,150,836,1569,0
2011,7/28/2011,209,0,13,NA,26,347,825,0
2011,7/29/2011,210,0,43,NA,67,1146,3241,0
2011,7/30/2011,211,0,4,NA,11,125,652,0
2011,7/31/2011,212,0,11,NA,34,336,1551,0
2011,8/1/2011,213,0,15,NA,15,120,245,0
2011,8/2/2011,214,0,13,NA,15,119,691,0
2011,8/3/2011,215,0,9,NA,4,246,728,0
2011,8/4/2011,216,0,3,NA,8,127,411,0
2011,8/5/2011,217,0,3,NA,23,446,1790,0
2011,8/6/2011,218,0,7,NA,72,3915,234,0
2011,8/7/2011,219,0,9,1,33,1663,1370,0
2011,8/8/2011,220,0,0,0,0,73,131,0
2011,8/9/2011,221,0,0,0,13,315,292,0
2011,8/10/2011,222,0,0,1,6,510,252,0
2011,8/11/2011,223,0,0,0,7,274,468,0
2011,8/12/2011,224,0,3,0,11,643,510,0
2011,8/13/2011,225,0,2,0,21,130,483,0
2011,8/14/2011,226,0,0,2,31,248,1020,0
2011,8/15/2011,227,0,0,3,24,285,1004,0
2011,8/16/2011,228,0,0,3,5,239,148,0
2011,8/17/2011,229,0,2,2,13,384,136,0
2011,8/18/2011,230,0,1,4,6,518,95,0
2011,8/19/2011,231,0,8,40,40,897,886,0
2011,8/20/2011,232,0,0,9,5,286,123,0
2011,8/21/2011,233,0,0,50,0,2706,950,0
2011,8/22/2011,234,0,0,0,0,150,50,0
2012,5/23/2012,144,NA,NA,NA,NA,NA,0,NA
2012,5/24/2012,145,NA,NA,NA,NA,NA,0,NA
2012,5/25/2012,146,NA,NA,NA,NA,NA,0,NA
2012,5/26/2012,147,NA,NA,NA,NA,NA,0,NA
2012,5/27/2012,148,NA,NA,NA,NA,NA,0,NA
2012,5/28/2012,149,NA,NA,NA,NA,NA,0,NA
2012,5/29/2012,150,NA,NA,NA,NA,NA,0,NA
2012,5/30/2012,151,NA,NA,NA,NA,NA,0,NA
2012,5/31/2012,152,NA,NA,NA,NA,NA,0,NA
2012,6/1/2012,153,NA,NA,NA,NA,NA,234,NA
2012,6/2/2012,154,NA,NA,NA,NA,NA,0,NA
2012,6/3/2012,155,NA,NA,NA,0,NA,1,NA
2012,6/4/2012,156,NA,NA,NA,0,NA,0,NA
2012,6/5/2012,157,NA,NA,NA,0,NA,0,NA
2012,6/6/2012,158,NA,NA,NA,0,NA,9,NA
2012,6/7/2012,159,NA,NA,NA,0,NA,0,NA
2012,6/8/2012,160,NA,NA,NA,1,NA,0,NA
2012,6/9/2012,161,NA,NA,NA,1,NA,73,NA
2012,6/10/2012,162,NA,NA,NA,3,NA,38,1
2012,6/11/2012,163,1,NA,NA,0,NA,9,0
2012,6/12/2012,164,0,NA,NA,0,NA,24,0
2012,6/13/2012,165,4,NA,NA,24,NA,1854,0
2012,6/14/2012,166,16,2,NA,9,NA,12936,0
2012,6/15/2012,167,2,0,NA,0,NA,1992,0
2012,6/16/2012,168,9,3,NA,1,NA,17777,0
2012,6/17/2012,169,1,0,NA,0,NA,3267,0
2012,6/18/2012,170,7,1,NA,0,NA,4735,0
2012,6/19/2012,171,15,0,NA,2,NA,10851,2
2012,6/20/2012,172,6,6,NA,1,1,8859,1
2012,6/21/2012,173,12,0,NA,1,0,1575,2
2012,6/22/2012,174,0,0,NA,0,0,16,3
2012,6/23/2012,175,4,0,NA,2,3,1642,0
2012,6/24/2012,176,3,0,NA,2,0,2185,1
2012,6/25/2012,177,1,0,NA,8,7,2196,2
2012,6/26/2012,178,13,8,NA,28,5,12386,0
2012,6/27/2012,179,6,5,NA,51,4,4240,1
2012,6/28/2012,180,4,5,NA,93,0,3334,1
2012,6/29/2012,181,5,2,NA,116,2,1925,2
2012,6/30/2012,182,2,8,NA,56,4,2403,1
2012,7/1/2012,183,2,3,NA,43,7,2272,0
2012,7/2/2012,184,3,13,NA,70,5,1820,1
2012,7/3/2012,185,0,4,NA,11,1,1006,0
2012,7/4/2012,186,0,4,NA,24,1,674,2
2012,7/5/2012,187,12,30,NA,25,0,2044,0
2012,7/6/2012,188,1,27,NA,62,8,1222,1
2012,7/7/2012,189,5,64,NA,86,11,5709,1
2012,7/8/2012,190,2,46,NA,14,6,1311,0
2012,7/9/2012,191,2,62,NA,19,2,1939,0
2012,7/10/2012,192,1,48,NA,9,0,2275,0
2012,7/11/2012,193,0,21,NA,33,0,380,0
2012,7/12/2012,194,5,187,NA,128,7,5698,1
2012,7/13/2012,195,1,23,NA,18,0,963,1
2012,7/14/2012,196,0,4,NA,7,0,18,0
2012,7/15/2012,197,1,95,NA,224,11,2038,0
2012,7/16/2012,198,0,1,NA,15,1,74,0
2012,7/17/2012,199,0,168,NA,147,20,9339,1
2012,7/18/2012,200,3,116,NA,134,41,3794,1
2012,7/19/2012,201,0,45,NA,93,11,481,0
2012,7/20/2012,202,0,26,NA,25,3,109,0
2012,7/21/2012,203,0,31,NA,85,42,1924,0
2012,7/22/2012,204,0,1,NA,1,2,82,0
2012,7/23/2012,205,0,11,NA,0,0,48,0
2012,7/24/2012,206,0,87,NA,63,41,3289,0
2012,7/25/2012,207,0,58,NA,35,22,1000,0
2012,7/26/2012,208,0,32,NA,27,2,364,0
2012,7/27/2012,209,0,125,NA,113,92,3548,0
2012,7/28/2012,210,0,23,NA,13,5,46,1
2012,7/29/2012,211,0,61,NA,27,76,510,0
2012,7/30/2012,212,0,24,1,22,1137,888,0
2012,7/31/2012,213,0,10,0,11,722,573,0
2012,8/1/2012,214,0,15,0,6,1167,476,0
2012,8/2/2012,215,NA,NA,NA,17,NA,NA,NA
2012,8/3/2012,216,1,20,1,30,2153,435,0
2012,8/4/2012,217,0,4,1,6,870,190,0
2012,8/5/2012,218,1,16,0,12,3676,177,0
2012,8/6/2012,219,0,5,0,10,4286,425,0
2012,8/7/2012,220,0,12,3,32,23319,635,0
2012,8/8/2012,221,0,15,2,43,19931,398,0
2012,8/9/2012,222,0,6,1,20,15452,198,0
2012,8/10/2012,223,0,8,1,22,11549,206,0
2012,8/11/2012,224,1,1,1,29,11657,198,0
2012,8/12/2012,225,0,0,1,11,7205,106,0
2012,8/13/2012,226,0,0,1,26,11748,119,0
2012,8/14/2012,227,0,2,7,28,21924,159,0
2012,8/15/2012,228,0,1,12,23,17681,113,1
2012,8/16/2012,229,0,0,17,9,10455,113,0
2012,8/17/2012,230,0,1,39,6,10730,79,0
2012,8/18/2012,231,0,6,39,15,20675,106,0
2013,5/25/2013,145,NA,NA,NA,NA,NA,0,NA
2013,5/26/2013,146,NA,NA,NA,NA,NA,0,NA
2013,5/27/2013,147,NA,NA,NA,NA,NA,0,NA
2013,5/28/2013,148,NA,NA,NA,NA,NA,0,NA
2013,5/29/2013,149,NA,NA,NA,NA,NA,0,NA
2013,5/30/2013,150,NA,NA,NA,NA,NA,0,NA
2013,5/31/2013,151,NA,NA,NA,NA,NA,0,NA
2013,6/1/2013,152,NA,NA,NA,NA,NA,0,NA
2013,6/2/2013,153,NA,NA,NA,0,NA,0,NA
2013,6/3/2013,154,NA,NA,NA,0,NA,0,NA
2013,6/4/2013,155,NA,NA,NA,0,NA,0,NA
2013,6/5/2013,156,NA,NA,NA,0,NA,2,NA
2013,6/6/2013,157,NA,NA,NA,0,NA,1,NA
2013,6/7/2013,158,1,NA,NA,0,NA,1,NA
2013,6/8/2013,159,7,NA,NA,17,NA,9147,1
2013,6/9/2013,160,17,NA,NA,32,NA,12679,0
2013,6/10/2013,161,4,NA,NA,1,NA,1669,0
2013,6/11/2013,162,6,NA,NA,14,NA,1132,0
2013,6/12/2013,163,3,NA,NA,0,NA,2122,4
2013,6/13/2013,164,12,1,NA,0,NA,3839,0
2013,6/14/2013,165,3,0,NA,0,NA,863,0
2013,6/15/2013,166,1,0,NA,0,NA,174,0
2013,6/16/2013,167,6,1,NA,4,NA,1199,2
2013,6/17/2013,168,1,0,NA,3,NA,202,3
2013,6/18/2013,169,4,0,NA,99,NA,4068,2
2013,6/19/2013,170,6,0,NA,18,NA,3340,2
2013,6/20/2013,171,1,0,NA,0,NA,85,4
2013,6/21/2013,172,0,2,NA,10,NA,475,1
2013,6/22/2013,173,3,10,NA,19,7,3487,0
2013,6/23/2013,174,2,13,NA,8,8,4902,0
2013,6/24/2013,175,1,22,NA,24,24,10309,3
2013,6/25/2013,176,5,14,NA,22,7,2153,2
2013,6/26/2013,177,1,5,NA,7,5,4628,0
2013,6/27/2013,178,0,0,NA,1,0,285,9
2013,6/28/2013,179,1,5,NA,13,12,2845,4
2013,6/29/2013,180,1,1,NA,2,9,1331,9
2013,6/30/2013,181,1,0,NA,1,0,8,5
2013,7/1/2013,182,2,10,NA,12,14,2908,5
